property_name,location,bedrooms,bathrooms,price,size
WAREHOUSE FOR RENT IN RUSAYL,"Al Rusayl, Muscat•",2,,1900,760.0
مكتب للإيجار في مكان مميز في انصب,"Ansab, Muscat•",2,,285,55.5
The Qube – Retail Shops for Rent,"Al Ghubrah, Muscat•",2,,1500,140.0
limited opportunities 1 BHK for rent in Azaiba Suqoon,"Azaiba, Muscat•",2,2,325,100.0
Brand new 2BHK Huge Terrace Parking Next to Qatar Airways,"Ghala, Muscat•",2,2,425,105.0
Retail Opportunities at Ghala Heights Complex,"Ghala, Muscat•",2,,2000,324.36
Azaiba - 4-bedroom villa,"Azaiba, Muscat•",5,5,950,250.0
Unique commercial spaces at the Qube Muscat - Ghubrah,"Al Ghubrah, Muscat•",2,,1500,100.0
Office in Ghala Heights Complex,"Ghala, Muscat•",2,,1600,200.0
"1,2,3 BHK flats for rent in Taminat Complex","Bosher, Muscat•",3,3,400,100.0
Modern Offices for rent in MIC Towerمكاتب حديثة للإيجار,"Muscat - Other, Muscat•",2,,600,120.0
Hamptons Business Center in Al Qurum offers all you need,"Qurum, Muscat•",2,,250,10.0
1 bhk flat for rent in Lamar Bausher,"Bosher, Muscat•",3,3,415,110.0
FULLY FURNISHED 2 BR APARTMENT,"Al Ghubrah, Muscat•",2,2,400,105.0
ADV935**4BHK Villa for rent in a complex in qurum,"Qurum, Muscat•",5,5,750,300.0
ADV917** luxurious 3bhk+Study Villa in complex in shatti Al qurum,"Qurum, Muscat•",5,5,1750,350.0
WADI KABIR | 1300 SQM WAREHOUSE WITH OFFICE,"Al Wadi Al Kabir, Muscat•",2,,3510,1300.0
(B5496)  2bhk in Southe Ghubrah free wifi,"Al Ghubrah, Muscat•",2,2,220,100.0
